date,station,aod_047,pm25
2018-10-08,North Campus,0.732,133.84375
2018-10-08,Okhla Phase-2,0.8885,133.29166666666666
2018-10-08,Patparganj,0.722,135.52083333333334
2018-10-08,Punjabi Bagh,0.7175,110.70833333333333
2018-10-08,Pusa,0.735,75.9975
2018-10-08,R K Puram,0.763,144.20833333333334
2018-10-08,Rohini,0.8255,149.14583333333334
2018-10-08,Shadipur,0.7085,87.01541666666667
2018-10-08,Sirifort,0.813,98.11458333333333
2018-10-08,Sonia Vihar,0.8235,135.4375
2018-10-08,Sri Aurobindo Marg,0.802,101.07291666666667
2018-10-08,Vivek Vihar,0.7535,165.60416666666666
2018-10-08,Wazirpur,0.718,150.19791666666666
2018-10-09,Anand Vihar,0.729,104.52083333333333
2018-10-09,Ashok Vihar,0.7465,57.958333333333336
2018-10-09,Aya Nagar,0.7815,93.8825
2018-10-09,Bawana,0.8795,125.88541666666667
2018-10-09,Burari Crossing,0.7955,126.945
2018-10-09,DTU,0.852,99.77083333333333
2018-10-09,Dr. Karni Singh Shooting Range,0.7955,109.14583333333333
2018-10-09,Dwarka-Sector 8,0.815,107.5625
2018-10-09,IGI Airport (T3),0.85,87.65166666666666
2018-10-09,IHBAS,0.7605,62.86291666666667
2018-10-09,ITO,0.7315,110.65625
2018-10-09,Jahangirpuri,0.7785,119.21875
2018-10-09,Jawaharlal Nehru Stadium,0.73,69.14583333333333
2018-10-09,Lodhi Road,0.7505,96.92125
2018-10-09,Major Dhyan Chand National Stadium,0.739,93.71875
2018-10-09,Mandir Marg,0.745,91.64583333333333
2018-10-09,Mundka,0.702,123.02083333333333
2018-10-09,NSIT Dwarka,0.815,126.3975
2018-10-09,Najafgarh,0.7115,98.89583333333333
2018-10-09,Narela,0.837,132.78125
2018-10-09,Nehru Nagar,0.739,121.21875
2018-10-09,North Campus,0.7665,100.50999999999999
2018-10-09,Okhla Phase-2,0.729,119.125
2018-10-09,Patparganj,0.7405,95.55208333333333
2018-10-09,Punjabi Bagh,0.773,93.875
2018-10-09,Pusa,0.749,72.12395833333333
2018-10-09,R K Puram,0.7525,130.5625
2018-10-09,Rohini,0.8325,116.35416666666667
2018-10-09,Shadipur,0.7575,97.92875
2018-10-09,Sirifort,0.769,94.73958333333333
2018-10-09,Sonia Vihar,0.7915,112.52083333333333
2018-10-09,Sri Aurobindo Marg,0.7635,100.23958333333333
2018-10-09,Vivek Vihar,0.746,118.27083333333333
2018-10-09,Wazirpur,0.7535,130.38541666666666
2018-10-10,Anand Vihar,1.223,99.9375
2018-10-10,Ashok Vihar,1.24,63.3125
2018-10-10,Aya Nagar,1.2895,75.88291666666667
2018-10-10,Bawana,1.303,130.02083333333334
2018-10-10,Burari Crossing,1.2875,110.63583333333332
2018-10-10,DTU,1.3045,99.3125
2018-10-10,Dr. Karni Singh Shooting Range,1.232,89.26041666666667
2018-10-10,Dwarka-Sector 8,1.2365,91.4375
2018-10-10,IGI Airport (T3),1.32,78.66833333333334
2018-10-10,IHBAS,1.216,62.17958333333333
2018-10-10,ITO,1.2335,88.20833333333333
2018-10-10,Jahangirpuri,1.2635,115.61458333333333
2018-10-10,Jawaharlal Nehru Stadium,1.1905,82.71428571428571
2018-10-10,Lodhi Road,1.181,81.15333333333334
2018-10-10,Major Dhyan Chand National Stadium,1.2035,96.22916666666667
2018-10-10,Mandir Marg,1.2565,89.97916666666667
2018-10-10,Mundka,1.231,99.61458333333333
2018-10-10,NSIT Dwarka,1.2365,113.26083333333334
2018-10-10,Najafgarh,1.19,83.5
2018-10-10,Narela,1.2605,125.40499999999999
2018-10-10,Nehru Nagar,1.1965,89.98958333333333
2018-10-10,North Campus,1.251,101.68624999999999
2018-10-10,Okhla Phase-2,1.172,94.625
2018-10-10,Patparganj,1.212,89.72916666666667
2018-10-10,Punjabi Bagh,1.255,83.63541666666667
2018-10-10,Pusa,1.264,63.41
2018-10-10,R K Puram,1.2155,96.28125
2018-10-10,Rohini,1.289,126.33333333333333
2018-10-10,Shadipur,1.256,99.66250000000001
2018-10-10,Sirifort,1.218,79.38636363636364
2018-10-10,Sonia Vihar,1.2635,98.64583333333333
2018-10-10,Sri Aurobindo Marg,1.216,86.94791666666667
2018-10-10,Vivek Vihar,1.208,104.125
2018-10-10,Wazirpur,1.229,118.35416666666667
2018-10-11,Aya Nagar,1.007,67.00521739130436
2018-10-11,Bawana,1.242,104.25
2018-10-11,Dr. Karni Singh Shooting Range,0.908,63.739583333333336
2018-10-11,Dwarka-Sector 8,0.872,71.89583333333333
2018-10-11,IGI Airport (T3),0.897,56.32
2018-10-11,ITO,1.372,97.27083333333333
2018-10-11,Jawaharlal Nehru Stadium,1.254,61.28125
2018-10-11,Lodhi Road,1.282,58.44916666666666
2018-10-11,Major Dhyan Chand National Stadium,1.296,78.23958333333333
2018-10-11,Mandir Marg,1.377,65.11458333333333
2018-10-11,Mundka,0.964,77.8125
2018-10-11,NSIT Dwarka,0.872,92.22416666666668
2018-10-11,Najafgarh,1.051,83.51086956521739
2018-10-11,Narela,1.4665,57.68333333333333
2018-10-11,Nehru Nagar,1.193,65.53125
2018-10-11,R K Puram,1.141,73.35416666666667
2018-10-11,Sirifort,1.202,59.885416666666664
2018-10-12,Anand Vihar,0.6065,74.48958333333333
2018-10-12,Ashok Vihar,0.707,49.333333333333336
2018-10-12,Aya Nagar,0.663,50.8125
2018-10-12,Bawana,0.565,90.83333333333333
2018-10-12,Burari Crossing,0.6705,69.56125
2018-10-12,DTU,0.664,64.39583333333333
2018-10-12,Dr. Karni Singh Shooting Range,0.634,59.40625
2018-10-12,Dwarka-Sector 8,0.64,60.927083333333336
2018-10-12,IHBAS,0.602,53.27916666666667
2018-10-12,ITO,0.616,76.42708333333333
2018-10-12,Jahangirpuri,0.6575,94.16666666666667
2018-10-12,Jawaharlal Nehru Stadium,0.546,66.39583333333333
2018-10-12,Lodhi Road,0.537,64.10708333333334
2018-10-12,Major Dhyan Chand National Stadium,0.54,78.17708333333333
2018-10-12,Mandir Marg,0.674,63.739583333333336
2018-10-12,NSIT Dwarka,0.64,90.28041666666667
2018-10-12,Najafgarh,0.607,57.125
2018-10-12,Narela,0.5425,82.14583333333333
2018-10-12,Nehru Nagar,0.567,73.34375
2018-10-12,North Campus,0.619,62.95250000000001
2018-10-12,Okhla Phase-2,0.56,61.520833333333336
2018-10-12,Patparganj,0.607,66.61458333333333
2018-10-12,Punjabi Bagh,0.629,60.302083333333336
2018-10-12,Pusa,0.597,47.68875
2018-10-12,R K Puram,0.586,85.73958333333333
2018-10-12,Shadipur,0.62,73.95666666666666
2018-10-12,Sirifort,0.603,52.114583333333336
2018-10-12,Sonia Vihar,0.595,62.875
2018-10-12,Sri Aurobindo Marg,0.611,56.1875
2018-10-12,Vivek Vihar,0.594,101.08333333333333
2018-10-12,Wazirpur,0.592,85.3125
2018-10-13,Anand Vihar,0.7915,169.92045454545453
2018-10-13,Ashok Vihar,0.616,171.72916666666666
2018-10-13,Aya Nagar,0.763,85.80375
2018-10-13,Bawana,0.6515,117.5
2018-10-13,Burari Crossing,0.8285,152.1408695652174
2018-10-13,DTU,0.6535,146.71875
2018-10-13,Dr. Karni Singh Shooting Range,0.7605,101.77083333333333
2018-10-13,Dwarka-Sector 8,0.7085,123.27083333333333
2018-10-13,IGI Airport (T3),0.725,90.32291666666667
2018-10-13,IHBAS,0.7415,94.34478260869564
2018-10-13,ITO,0.819,148.32291666666666
2018-10-13,Jahangirpuri,0.797,202.125
2018-10-13,Jawaharlal Nehru Stadium,0.734,62.114583333333336
2018-10-13,Lodhi Road,0.694,94.18666666666667
2018-10-13,Major Dhyan Chand National Stadium,0.851,106.58333333333333
2018-10-13,Mandir Marg,0.756,139.6875
2018-10-13,Mundka,0.621,153.0
2018-10-13,NSIT Dwarka,0.7085,143.58208333333332
2018-10-13,Najafgarh,0.7025,87.40625
2018-10-13,Narela,0.5955,177.6875
2018-10-13,Nehru Nagar,0.92,153.4375
2018-10-13,North Campus,0.691,127.98708333333333
2018-10-13,Okhla Phase-2,0.755,130.54166666666666
2018-10-13,Patparganj,0.696,147.98958333333334
2018-10-13,Punjabi Bagh,0.6655,132.94791666666666
2018-10-13,Pusa,0.733,59.280833333333334
2018-10-13,R K Puram,0.6925,126.70833333333333
2018-10-13,Shadipur,0.6905,181.3259090909091
2018-10-13,Sirifort,0.841,99.35416666666667
2018-10-13,Sonia Vihar,0.9125,164.54166666666666
2018-10-13,Sri Aurobindo Marg,0.7355,97.78125
2018-10-13,Vivek Vihar,0.717,148.5909090909091
2018-10-13,Wazirpur,0.7285,186.58333333333334
2018-10-14,Anand Vihar,0.553,99.625
2018-10-14,Ashok Vihar,0.5795,100.04166666666667
2018-10-14,Aya Nagar,0.5565,66.385
2018-10-14,Bawana,0.4695,96.58333333333333
2018-10-14,Burari Crossing,0.662,111.16363636363636
2018-10-14,DTU,0.537,97.52083333333333
2018-10-14,Dr. Karni Singh Shooting Range,0.551,81.63541666666667
2018-10-14,Dwarka-Sector 8,0.5845,91.5
2018-10-14,IHBAS,0.6025,49.52458333333333
2018-10-14,ITO,0.527,93.9375
2018-10-14,Jahangirpuri,0.5885,167.625
2018-10-14,Jawaharlal Nehru Stadium,0.4575,46.739583333333336
2018-10-14,Lodhi Road,0.45,74.57000000000001
2018-10-14,Major Dhyan Chand National Stadium,0.4645,89.66666666666667
2018-10-14,Mandir Marg,0.543,85.55208333333333
2018-10-14,Mundka,0.571,134.54166666666666
2018-10-14,NSIT Dwarka,0.5845,114.73583333333333
2018-10-14,Najafgarh,0.5775,75.64583333333333
2018-10-14,Narela,0.498,119.42083333333333
2018-10-14,Nehru Nagar,0.455,100.14583333333333
2018-10-14,North Campus,0.5745,88.72583333333334
2018-10-14,Okhla Phase-2,0.4385,88.75
2018-10-14,Patparganj,0.5645,96.13541666666667
2018-10-14,Punjabi Bagh,0.584,85.69791666666667
2018-10-14,Pusa,0.5015,47.38999999999999
2018-10-14,R K Puram,0.528,103.01041666666667
2018-10-14,Shadipur,0.5435,99.28666666666668
2018-10-14,Sirifort,0.484,75.83333333333333
2018-10-14,Sonia Vihar,0.599,92.79166666666667
2018-10-14,Sri Aurobindo Marg,0.49,71.52083333333333
2018-10-14,Vivek Vihar,0.61,115.32142857142857
2018-10-14,Wazirpur,0.558,127.70833333333333
2018-10-15,Anand Vihar,0.6505,138.53125
2018-10-15,Ashok Vihar,0.62,118.42708333333333
2018-10-15,Aya Nagar,0.6825,83.115
2018-10-15,Bawana,0.661,128.45833333333334
2018-10-15,Burari Crossing,0.7275,99.24692307692308
2018-10-15,CRRI Mathura Road,0.64,10.0
2018-10-15,DTU,0.682,129.25
2018-10-15,Dr. Karni Singh Shooting Range,0.644,97.54166666666667
2018-10-15,Dwarka-Sector 8,0.656,118.29166666666667
2018-10-15,IGI Airport (T3),0.6625,95.30458333333333
2018-10-15,IHBAS,0.6875,74.60833333333333
2018-10-15,ITO,0.62,118.28125
2018-10-15,Jahangirpuri,0.69,165.79166666666666
2018-10-15,Jawaharlal Nehru Stadium,0.571,59.71875
2018-10-15,Lodhi Road,0.596,97.36125
2018-10-15,Major Dhyan Chand National Stadium,0.5755,117.21875
2018-10-15,Mandir Marg,0.635,112.30208333333333
2018-10-15,Mundka,0.632,131.77083333333334
2018-10-15,NSIT Dwarka,0.656,153.49625
2018-10-15,Najafgarh,0.6355,90.52083333333333
2018-10-15,Narela,0.668,171.625
2018-10-15,Nehru Nagar,0.5555,139.52083333333334
2018-10-15,North Campus,0.6385,111.80958333333332
2018-10-15,Okhla Phase-2,0.61,113.9375
2018-10-15,Patparganj,0.615,124.22916666666667
2018-10-15,Punjabi Bagh,0.6595,103.71875
2018-10-15,Pusa,0.634,68.51675675675675
2018-10-15,R K Puram,0.564,135.33333333333334
2018-10-15,Rohini,0.675,112.6923076923077
2018-10-15,Shadipur,0.6395,133.27083333333334
2018-10-15,Sirifort,0.6,92.88541666666667
2018-10-15,Sonia Vihar,0.7155,145.33333333333334
2018-10-15,Sri Aurobindo Marg,0.614,85.69791666666667
2018-10-15,Vivek Vihar,0.66,134.22916666666666
2018-10-15,Wazirpur,0.628,161.75
2018-10-16,Aya Nagar,0.974,90.50375000000001
2018-10-16,Dr. Karni Singh Shooting Range,0.959,108.16666666666667
2018-10-16,Jawaharlal Nehru Stadium,1.103,77.1086956521739
2018-10-16,Lodhi Road,1.087,112.19041666666668
2018-10-16,Nehru Nagar,0.965,150.07291666666666
2018-10-16,Okhla Phase-2,0.955,152.41666666666666
2018-10-16,R K Puram,0.929,139.30208333333334
2018-10-16,Sirifort,0.96,105.20833333333333
2018-10-16,Sri Aurobindo Marg,0.943,100.94791666666667
2018-10-17,Anand Vihar,0.633,167.67708333333334
2018-10-17,Ashok Vihar,0.5275,58.96875
2018-10-17,Aya Nagar,0.6075,114.48666666666666
2018-10-17,Bawana,0.447,190.20833333333334
2018-10-17,Burari Crossing,0.444,120.10833333333333
2018-10-17,CRRI Mathura Road,0.7075,191.31583333333333
2018-10-17,DTU,0.534,133.73958333333334
2018-10-17,Dr. Karni Singh Shooting Range,0.5875,110.69791666666667
2018-10-17,Dwarka-Sector 8,0.523,132.86458333333334
2018-10-17,IGI Airport (T3),0.439,89.52791666666667
2018-10-17,IHBAS,0.6455,57.29642857142857
2018-10-17,ITO,0.5975,137.92708333333334
2018-10-17,Jahangirpuri,0.5165,185.41666666666666
2018-10-17,Jawaharlal Nehru Stadium,0.565,119.8125
2018-10-17,Lodhi Road,0.598,90.64625000000001
2018-10-17,Major Dhyan Chand National Stadium,0.665,128.46875
2018-10-17,Mandir Marg,0.583,113.77083333333333
